id;code;date;details;status;payment_method;payment_date;payment_amount
1;mobile Fish;2019-08-11T18:49:48;Savings Account Dam;ISSUED;CREDIT_CARD;2019-08-12T12:11:19;96990
2;parsing red Chips;2019-08-12T09:08:27;methodology Albania;PAID;PAYPAL;2019-08-12T04:44:59;23277
3;Licensed Savings Account;2019-08-12T04:21:48;Planner Canyon;PAID;CASH_ON_DELIVERY;2019-08-12T08:00:04;68423
4;infomediaries;2019-08-12T10:36:49;Buckinghamshire Games;PAID;PAYPAL;2019-08-12T09:06:21;3131
5;synthesizing Views e-enable;2019-08-11T15:18:10;capacitor archive;CANCELLED;CREDIT_CARD;2019-08-11T23:27:38;35675
6;mission-critical Faroe Islands Plastic;2019-08-11T18:17:24;Small;CANCELLED;PAYPAL;2019-08-11T20:34:41;71134
7;1080p Checking Account Identity;2019-08-11T21:55:00;Internal;PAID;CASH_ON_DELIVERY;2019-08-11T23:21:05;63755
8;COM;2019-08-12T02:12:34;Frozen bus;ISSUED;CREDIT_CARD;2019-08-12T03:16:54;11089
9;partnerships;2019-08-12T08:42:04;Dynamic;ISSUED;CREDIT_CARD;2019-08-12T08:40:08;22879
10;Generic neutral Salad;2019-08-11T15:13:48;virtual deposit;CANCELLED;PAYPAL;2019-08-12T05:54:37;90682
