id;placed_date;status;code;invoice_id;customer
1;2019-08-12T12:39:18;COMPLETED;paradigms Home;34507;deposit Canadian Dollar Lebanon
2;2019-08-12T02:47:37;PENDING;Ergonomic transmitter;36778;invoice withdrawal
3;2019-08-12T00:40:55;CANCELLED;Argentine Peso;85835;neural-net red
4;2019-08-11T20:28:22;PENDING;Sausages;69093;synthesize Creative
5;2019-08-12T10:14:23;PENDING;Fiji Dollar Profound Bacon;98216;Borders content-based
6;2019-08-11T13:37:50;COMPLETED;Human deposit;33902;cross-media
7;2019-08-11T20:07:03;COMPLETED;bypassing Marketing;78534;New Zealand Dollar Alabama transform
8;2019-08-11T14:58:38;CANCELLED;Latvia;69189;invoice Devolved
9;2019-08-11T20:26:53;CANCELLED;Fish;36646;program alarm
10;2019-08-12T06:08:49;PENDING;dedicated Persevering;97301;target Human withdrawal
